player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
Y. Ohashi,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
K. Joseph,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.3,,
A. Gudjohnsen,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
T. Cantwell,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
M. Jørgensen,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
S. Hansen,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Peart-Harris,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
J. Sarmiento,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
L. Castledine,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.1,,
R. Morishita,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.3,,
R. McGree,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.4,,
O. Afolayan,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
L. McCabe,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.25,,
M. Arfsten,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
M. Baradji,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
S. Berhalter,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
F. Cartwright,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
A. Henriksson,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
J. Dede,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
S. Tavares,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
D. De Neve,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Fevrier,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
A. Morris,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
A. Forshaw,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
C. O'Riordan,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
C. Brittain,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
K. Montgomery,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
S. Wharton,Blackburn Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Jones,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Kanté,Middlesbrough,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
Z. Vipotnik,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.63,,
B. Wales,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.9,,
P. Bamford,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
A. Idah,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
T. Campbell,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
L. Marsh,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.9,,
R. Oné,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
R. Stewart,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
J. Opoku,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
E. Just,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
Z. Inoussa,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
T. Cannon,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.8,,
R. Donovan,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
C. O'Hare,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Yeo,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
F. Bianchini,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
L. Walta,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
E. Ukaki,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
B. Lloyd,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
M. Widell,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
T. Chong,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.75,,
S. Peck,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
M. Stamenic,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
H. Burrows,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
O. Arblaster,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. Key,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Fulton,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Riedewald,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Rothwell,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
M. Doherty,Sheffield United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
C. Burgess,Swansea City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Piroe,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.3,,
V. Castellanos,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.3,,
J. Bowen,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.45,,
J. Landers,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
J. Ajala,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
D. Mukasa,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
M. Cornet,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
K. Lamadrid,West Ham United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
